,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|subject_id[ET_22],-0.022,0.017,-0.058,0.009,0.002,0.001,108.0,285.0,1.04
1|subject_id[ET_23],-0.038,0.018,-0.072,-0.004,0.002,0.001,112.0,264.0,1.04
1|subject_id[ET_24],-0.062,0.017,-0.096,-0.029,0.002,0.001,105.0,244.0,1.04
1|subject_id[ET_25],0.073,0.017,0.04,0.105,0.002,0.001,105.0,238.0,1.04
1|subject_id[ET_26],-0.065,0.017,-0.098,-0.031,0.002,0.001,115.0,280.0,1.04
1|subject_id[ET_28],-0.077,0.018,-0.112,-0.044,0.002,0.001,117.0,314.0,1.03
1|subject_id[ET_29],-0.12,0.018,-0.154,-0.086,0.002,0.001,119.0,281.0,1.04
1|subject_id[ET_31],-0.031,0.018,-0.065,0.003,0.002,0.001,114.0,257.0,1.04
1|subject_id[ET_32],-0.346,0.018,-0.382,-0.314,0.002,0.001,121.0,263.0,1.03
1|subject_id[ET_33],0.255,0.018,0.219,0.288,0.002,0.001,118.0,256.0,1.04
1|subject_id[ET_34],0.202,0.017,0.168,0.234,0.002,0.001,106.0,208.0,1.04
1|subject_id[ET_35],-0.152,0.017,-0.185,-0.118,0.002,0.001,110.0,243.0,1.04
1|subject_id[ET_37],-0.288,0.018,-0.325,-0.253,0.002,0.001,128.0,312.0,1.03
1|subject_id[ET_38],-0.114,0.017,-0.151,-0.083,0.002,0.001,113.0,258.0,1.04
1|subject_id[ET_39],0.189,0.017,0.155,0.222,0.002,0.001,112.0,290.0,1.04
1|subject_id[ET_42],0.01,0.018,-0.025,0.044,0.002,0.001,114.0,267.0,1.04
1|subject_id[ET_44],0.199,0.017,0.164,0.232,0.002,0.001,104.0,236.0,1.04
1|subject_id[ET_46],0.001,0.018,-0.034,0.035,0.002,0.001,120.0,322.0,1.04
1|subject_id[ET_48],-0.096,0.018,-0.132,-0.062,0.002,0.001,117.0,251.0,1.04
1|subject_id[ET_49],0.024,0.018,-0.01,0.058,0.002,0.001,119.0,299.0,1.03
1|subject_id[ET_50],0.201,0.017,0.169,0.235,0.002,0.001,112.0,294.0,1.04
1|subject_id[ET_51],0.018,0.018,-0.017,0.052,0.002,0.001,106.0,225.0,1.04
1|subject_id[ET_52],-0.104,0.017,-0.138,-0.071,0.002,0.001,109.0,233.0,1.04
1|subject_id[ET_53],0.086,0.017,0.052,0.118,0.002,0.001,111.0,268.0,1.04
1|subject_id[ET_54],-0.026,0.017,-0.061,0.005,0.002,0.001,105.0,253.0,1.04
1|subject_id[ET_55],-0.138,0.018,-0.174,-0.105,0.002,0.001,115.0,288.0,1.04
1|subject_id[ET_56],0.113,0.017,0.079,0.146,0.002,0.001,114.0,280.0,1.04
1|subject_id[ET_57],0.186,0.017,0.152,0.218,0.002,0.001,105.0,240.0,1.04
1|subject_id[ET_58],0.172,0.017,0.138,0.205,0.002,0.001,109.0,250.0,1.04
1|subject_id[ET_59],-0.159,0.018,-0.193,-0.125,0.002,0.001,115.0,294.0,1.04
1|subject_id[ET_61],0.093,0.018,0.057,0.126,0.002,0.001,117.0,247.0,1.04
1|subject_id[ET_62],-0.032,0.017,-0.065,0.002,0.002,0.001,112.0,264.0,1.04
1|subject_id[ET_63],0.029,0.017,-0.006,0.061,0.002,0.001,105.0,263.0,1.04
1|subject_id[ET_64],-0.017,0.017,-0.051,0.015,0.002,0.001,104.0,235.0,1.04
1|subject_id[ET_65],-0.005,0.017,-0.038,0.029,0.002,0.001,109.0,281.0,1.04
1|subject_id[ET_66],0.066,0.017,0.033,0.099,0.002,0.001,108.0,244.0,1.04
1|subject_id[ET_67],-0.173,0.018,-0.208,-0.139,0.002,0.001,118.0,316.0,1.03
1|subject_id[ET_68],0.081,0.017,0.047,0.113,0.002,0.001,109.0,236.0,1.04
1|subject_id[ET_69],0.093,0.017,0.059,0.126,0.002,0.001,109.0,256.0,1.04
1|subject_id[ET_70],0.118,0.018,0.085,0.153,0.002,0.001,115.0,286.0,1.04
1|subject_id[ET_71],-0.112,0.017,-0.147,-0.08,0.002,0.001,113.0,267.0,1.04
1|subject_id[ET_72],-0.092,0.018,-0.128,-0.059,0.002,0.001,111.0,254.0,1.04
1|subject_id[ET_73],-0.051,0.018,-0.085,-0.017,0.002,0.001,110.0,276.0,1.04
1|subject_id[ET_74],0.041,0.018,0.006,0.074,0.002,0.001,110.0,226.0,1.04
1|subject_id[ET_75],0.087,0.017,0.053,0.119,0.002,0.001,101.0,259.0,1.04
1|subject_id[ET_76],0.547,0.017,0.51,0.577,0.002,0.001,109.0,230.0,1.04
1|subject_id[ET_77],0.046,0.017,0.012,0.078,0.002,0.001,112.0,242.0,1.04
1|subject_id[ET_78],0.038,0.017,0.003,0.07,0.002,0.001,109.0,255.0,1.04
1|subject_id[ET_80],0.07,0.017,0.036,0.104,0.002,0.001,112.0,262.0,1.04
1|subject_id[ET_81],0.234,0.017,0.201,0.266,0.002,0.001,105.0,254.0,1.04
1|subject_id[ET_82],0.124,0.018,0.088,0.157,0.002,0.001,115.0,270.0,1.03
1|subject_id[ET_83],-0.144,0.018,-0.178,-0.11,0.002,0.001,124.0,312.0,1.03
1|subject_id[ET_84],0.211,0.018,0.176,0.244,0.002,0.001,117.0,298.0,1.04
1|subject_id[ET_85],-0.272,0.017,-0.305,-0.238,0.002,0.001,113.0,263.0,1.04
1|subject_id[ET_86],0.203,0.017,0.169,0.235,0.002,0.001,111.0,259.0,1.04
1|subject_id[ET_87],0.136,0.018,0.102,0.17,0.002,0.001,120.0,255.0,1.03
1|subject_id[ET_88],-0.044,0.017,-0.079,-0.011,0.002,0.001,109.0,241.0,1.04
1|subject_id[ET_89],-0.129,0.018,-0.166,-0.097,0.002,0.001,117.0,250.0,1.04
1|subject_id[ET_90],-0.005,0.018,-0.039,0.029,0.002,0.001,111.0,301.0,1.04
1|subject_id[ET_91],0.041,0.018,0.007,0.078,0.002,0.001,123.0,287.0,1.03
1|subject_id[ET_92],0.103,0.017,0.068,0.136,0.002,0.001,113.0,241.0,1.04
1|subject_id[ET_93],-0.057,0.018,-0.091,-0.022,0.002,0.001,109.0,274.0,1.04
1|subject_id[ET_94],-0.068,0.017,-0.101,-0.035,0.002,0.001,114.0,333.0,1.04
1|subject_id[ET_95],0.06,0.018,0.023,0.092,0.002,0.001,118.0,277.0,1.03
1|subject_id[ET_96],0.085,0.018,0.05,0.118,0.002,0.001,117.0,293.0,1.03
1|subject_id[ET_97],-0.006,0.017,-0.04,0.027,0.002,0.001,109.0,301.0,1.04
1|subject_id[ET_98],-0.124,0.017,-0.16,-0.093,0.002,0.001,111.0,292.0,1.04
1|subject_id_sigma,0.141,0.01,0.123,0.16,0.001,0.0,194.0,298.0,1.02
Intercept,5.395,0.015,5.368,5.425,0.002,0.001,82.0,125.0,1.05
last_in_line,0.013,0.003,0.007,0.019,0.0,0.0,5011.0,4968.0,1.0
log_lex_freq,-0.053,0.001,-0.056,-0.05,0.0,0.0,3293.0,4350.0,1.0
sigma,0.431,0.001,0.43,0.432,0.0,0.0,6306.0,5110.0,1.0
surprisal,0.042,0.001,0.04,0.044,0.0,0.0,4201.0,4933.0,1.0
word_length,0.092,0.001,0.089,0.094,0.0,0.0,3958.0,5184.0,1.0
